,gamma_autocorrelation,ocean_heat_capacity[0],ocean_heat_capacity[1],ocean_heat_capacity[2],ocean_heat_transfer[0],ocean_heat_transfer[1],ocean_heat_transfer[2],deep_ocean_efficacy,sigma_eta,sigma_xi,forcing_4co2,iirf_0[CO2],iirf_uptake[CO2],iirf_temperature[CO2],iirf_airborne[CO2],erfari_radiative_efficiency[BC],erfari_radiative_efficiency[OC],erfari_radiative_efficiency[Sulfur],erfari_radiative_efficiency[NOx],erfari_radiative_efficiency[VOC],erfari_radiative_efficiency[NH3],erfari_radiative_efficiency[CH4],erfari_radiative_efficiency[N2O],erfari_radiative_efficiency[Equivalent effective stratospheric chlorine],aci_shape[Sulfur],aci_shape[BC],aci_shape[OC],aci_scale,ozone_radiative_efficiency[CH4],ozone_radiative_efficiency[N2O],ozone_radiative_efficiency[Equivalent effective stratospheric chlorine],ozone_radiative_efficiency[CO],ozone_radiative_efficiency[VOC],ozone_radiative_efficiency[NOx],forcing_scale[CH4],forcing_scale[N2O],forcing_scale[CFC-11],forcing_scale[CFC-12],forcing_scale[CFC-113],forcing_scale[CFC-114],forcing_scale[CFC-115],forcing_scale[HCFC-22],forcing_scale[HCFC-141b],forcing_scale[HCFC-142b],forcing_scale[CCl4],forcing_scale[CHCl3],forcing_scale[CH2Cl2],forcing_scale[CH3Cl],forcing_scale[CH3CCl3],forcing_scale[CH3Br],forcing_scale[Halon-1211],forcing_scale[Halon-1301],forcing_scale[Halon-2402],forcing_scale[CF4],forcing_scale[C2F6],forcing_scale[C3F8],forcing_scale[c-C4F8],forcing_scale[C4F10],forcing_scale[C5F12],forcing_scale[C6F14],forcing_scale[C7F16],forcing_scale[C8F18],forcing_scale[NF3],forcing_scale[SF6],forcing_scale[SO2F2],forcing_scale[HFC-125],forcing_scale[HFC-134a],forcing_scale[HFC-143a],forcing_scale[HFC-152a],forcing_scale[HFC-227ea],forcing_scale[HFC-32],forcing_scale[HFC-365mfc],forcing_scale[HFC-4310mee],forcing_scale[HFC-23],forcing_scale[HFC-236fa],forcing_scale[HFC-245fa],forcing_scale[Stratospheric water vapour],forcing_scale[Land use],forcing_scale[Volcanic],forcing_scale[Solar],forcing_scale[Light absorbing particles on snow and ice],forcing_scale[CO2],baseline_concentration[CO2],seed,stochastic_run,use_seed
775025,5.149413031,3.618655514,13.51994509,97.32703178,1.243995572,1.795015429,0.879662328,0.885138162,0.67461738,0.383768817,6.861421986,26.59196065,0.004887542,4.921532352,0.000764163,0.023321873,-0.005110997,-0.001543246,-8.93e-05,-1.49e-05,-0.000619853,-2.88e-06,-2.2e-05,-6.19e-06,0.011042207,0.0033092,3.42e-11,-1.218385376,0.000198348,0.001256484,-0.000110091,5.13e-05,0.000229586,0.000455048,0.922823341,1.064901318,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,0.943187465,1.999100906,0.707088541,1.229018856,0.972973758,0.986010622,0.920232161,277.2743835,310590738,False,False
26795,7.460120388,4.618955976,13.49670244,116.1300748,1.47185923,2.990422647,0.633250949,1.305809031,1.049388208,0.562121873,8.181131817,28.69072656,0.003240401,5.18351681,0.00027683,0.044318793,-0.004460518,-0.004913071,-8.25e-05,2.79e-06,-0.000572104,-4.67e-06,-2.95e-05,-8.43e-06,0.008788863,2.854021725,2e-18,-0.911595558,0.000265974,0.001327579,4.52e-07,6.69e-05,0.000226542,0.001845259,0.892782035,1.004908859,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.16132814,1.055363163,1.023409038,1.014143428,0.260642793,1.3705247,1.016212897,279.6851234,12046968,False,False
268680,7.301090265,4.265551126,9.798132983,39.29869456,1.317027287,3.692884841,0.768792488,1.528070659,1.446115559,0.625011052,8.277830426,29.063625,0.004132712,2.554456006,0.000947637,0.041932157,-0.009642403,-0.004103381,-7.67e-05,-3.29e-05,-0.00064945,-1.45e-06,-5.82e-05,-9.37e-06,0.005264836,0.001565596,2.97e-11,-2.396732891,0.000216556,0.001279485,-9.05e-06,-8.94e-06,0.000290467,0.001771297,1.278439065,1.082728668,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,1.1102003,0.635386866,0.510155932,0.844460076,0.807711214,1.645988774,1.023600231,278.9061332,108559083,False,False
317748,4.55576397,3.682116239,14.37617851,103.1536376,1.42814356,2.929666002,0.478085798,1.28221669,0.591663323,0.314371332,8.48917024,29.5957812,0.004626496,0.930635634,0.004232594,0.047933044,-0.002039344,-0.003154052,-0.000118413,-8.56e-06,-0.000590047,-2.49e-06,-4.83e-05,-8.41e-06,1.03e-06,5.7e-06,2.3e-06,-6093.241303,0.000280584,0.001405573,7.52e-05,0.000112165,-6.12e-05,0.001198359,0.81505836,0.935562305,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.856278887,0.830295336,1.125825097,1.292952399,0.775620807,2.092197739,1.037665584,273.2611336,128137215,False,False
265755,2.473485148,6.032401259,22.52863864,135.3239396,1.123752237,1.273061011,1.877914717,1.317110655,0.672781356,0.584863684,7.152548098,29.23671996,0.002982013,1.130244389,0.004863528,0.03788973,-0.006564442,-0.001888074,-6.35e-05,-2.81e-05,-0.000643323,-5.62e-07,-5.81e-05,-7.87e-06,4.54e-07,5.39e-09,5.11e-06,-11302.10839,0.000243341,0.00132161,-8.48e-05,-2.78e-05,0.000755207,0.000513538,1.120795655,1.049258353,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.997106135,0.745475865,0.819262994,1.407237066,1.094964719,1.172344678,0.942232712,277.8227879,107392008,False,False
1030815,7.524835511,4.691112714,20.55124844,181.652423,0.553755163,1.064134541,0.94028106,0.855701968,0.872560647,0.485375078,6.650537865,39.58382234,-0.00484797,-0.476077084,0.005642201,0.042366773,-0.005209025,-0.001703198,-8.83e-05,-1.38e-05,-0.000589316,-3.2e-06,-3.86e-05,-7.76e-06,0.06104856,4.0699999999999996e-42,5.52556286,-2.568253588,0.000261143,0.0007218,-1.48e-05,0.000100977,-0.00038292,-0.000467751,0.972381005,0.901583606,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,0.886200011,1.457763196,1.204318467,1.04724585,1.062488442,0.81938647,0.905082872,275.667827,412650948,False,False
1588388,1.393751604,4.243970452,9.187504443,53.91799928,1.080471521,4.139233846,0.854332994,1.498765348,0.244580295,0.310356047,8.043523904,33.08099882,0.000132567,1.128259332,0.003296665,0.028842845,-0.003012794,-0.00266937,-6.97e-05,-1.01e-05,-0.000646721,-2.77e-06,-6.19e-05,-9.41e-06,7.07e-07,1.88e-05,1.93e-06,-6433.050422,0.000249891,0.00111513,-3.79e-05,-3.65e-05,-8.91e-05,0.001687435,1.057874813,1.05865639,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.024108,1.766840872,1.015859701,1.171557951,1.203569909,0.632475494,1.006983918,279.8279812,635122575,False,False
1268270,7.183061907,4.112872485,19.95155189,74.7746855,1.532077544,2.619959118,0.519309714,1.496114487,1.179646954,0.617600833,7.997709214,33.06415928,6.3e-05,2.957516592,0.003079207,0.032649877,-0.005318162,-0.002108569,-5.81e-05,-3.04e-06,-0.000680241,-1.79e-06,-6.55e-05,-7.29e-06,0.016190073,4.930703174,3.44e-17,-0.900037706,0.000243927,0.000896927,9.98e-05,-4.14e-05,-4.74e-05,0.002098589,0.841063007,1.116346071,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,1.273813173,0.829803429,1.015951824,0.832244671,1.316091584,-0.040252892,1.003717964,276.0546643,507395493,False,False
528421,2.866318865,3.95203874,7.628704682,69.09617092,1.35403947,2.340749323,1.614516939,1.545176764,0.768381664,0.569029508,7.762441014,28.3625195,0.003773903,1.888082773,0.003783652,0.023914316,-0.003284673,-0.001208614,-6.27e-05,-6.7e-05,-0.000604602,-3.41e-06,-3.28e-05,-8.87e-06,0.01796698,9.820000000000001e-33,0.077545697,-0.900396844,0.000201889,0.001560337,-2.03e-05,3.55e-05,0.000200678,0.000763492,0.982789672,1.025203496,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,0.731539858,1.238983847,0.772891034,1.229116664,1.077304433,0.502773559,0.987755652,278.6484827,212195742,False,False
1211884,5.825085587,4.546819832,8.992262011,62.68134154,1.479660864,3.213094086,1.528782597,1.603653897,0.808668415,0.528277105,9.017200051,27.60183395,0.006538014,3.801665392,-7.44e-05,0.032644202,-0.005912321,-0.001628667,-8.47e-05,1.77e-07,-0.00058432,-3.09e-06,-5.39e-05,-7.56e-06,0.010472071,5.54e-18,0.652207191,-2.044326498,0.00027994,0.001460524,-0.000109355,7.47e-05,2.14e-05,0.000503907,0.893194061,1.109826428,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,1.060754557,0.887379576,1.124377957,0.937515251,0.975051517,0.851021563,1.07415864,276.5882662,484897479,False,False
